"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2005-08-30",0.22931033372879,18.9632205963135,31.6870555877686,32.4880142211914,10.0590114593506,2.12450003623962,1.2181,1.7844,14.448,6.4808,11.6052,7.9206
"2005-08-31",0.234430640935898,19.1027679443359,31.7327976226807,33.5210266113281,10.0078153610229,2.13499999046326,1.2198,1.7829,14.5715,6.5033,11.6083,7.9434
"2005-09-01",0.234506636857986,18.9771842956543,31.8929481506348,34.3969612121582,10.0167169570923,2.09200000762939,1.2388,1.8105,14.8064,6.381,11.5292,7.8936
"2005-09-02",0.230685815215111,18.8515949249268,32.0245056152344,35.1883125305176,9.91654872894287,2.07550001144409,1.2541,1.8377,14.9026,6.2647,11.5229,7.8719
"2005-09-06",0.232596680521965,18.837646484375,32.3562393188477,35.3453788757324,10.1703100204468,2.18099999427795,1.2483,1.8442,14.883,6.2811,11.5547,7.8247
"2005-09-07",0.240008324384689,18.7329864501953,32.1789436340332,35.6836585998535,10.2081537246704,2.18650007247925,1.2451,1.8391,14.855,6.2977,11.6054,7.8727
"2005-09-08",0.242835283279419,18.5655460357666,32.116024017334,35.2366561889648,10.2081537246704,2.14800000190735,1.2418,1.836,14.8709,6.3258,11.6165,7.8583
"2005-09-09",0.245968461036682,18.5446166992188,32.544979095459,35.5568161010742,10.2148303985596,2.14750003814697,1.2415,1.8327,14.8665,6.316,11.5936,7.8438
"2005-09-12",0.245127558708191,18.5655460357666,32.3505477905273,35.816577911377,10.2148303985596,2.22499990463257,1.2313,1.8266,14.7223,6.3711,11.6374,7.8537
"2005-09-13",0.25254014134407,18.4748516082764,31.767126083374,35.8830070495605,10.032299041748,2.1965000629425,1.2276,1.8235,14.7189,6.3751,11.6211,7.8372
"2005-09-14",0.249482959508896,18.3562431335449,31.469705581665,35.2185096740723,9.94994163513184,2.15499997138977,1.2314,1.8232,14.7606,6.3589,11.5966,7.809
"2005-09-15",0.253915429115295,18.3283309936523,31.7442378997803,34.880241394043,9.86535263061523,2.13549995422363,1.2223,1.809,14.5697,6.3938,11.5917,7.8117
"2005-09-16",0.254067808389664,18.1887950897217,32.0016326904297,34.8681488037109,9.76518630981445,2.14000010490417,1.2243,1.8112,14.5676,6.3642,11.5253,7.8076
"2005-09-19",0.250477075576782,18.1399574279785,31.7785682678223,34.4150924682617,9.79634857177734,2.13750004768372,1.2139,1.8025,14.5672,6.4539,11.6129,7.8264
"2005-09-20",0.255367010831833,18.0283279418945,32.0531120300293,34.3184127807617,9.61827373504639,2.09349989891052,1.2154,1.8051,14.5706,6.405,11.5648,7.7856
"2005-09-21",0.25315073132515,17.7841377258301,31.9730186462402,34.4996528625488,9.45801067352295,2.0625,1.2225,1.8098,14.6328,6.3736,11.5254,7.7863
"2005-09-22",0.24635075032711,17.6794776916504,32.4248886108398,35.037296295166,9.6138219833374,2.10400009155273,1.2224,1.8017,14.4533,6.3478,11.4921,7.7606
"2005-09-23",0.249941438436508,17.6306400299072,32.453498840332,35.5930671691895,9.61604976654053,2.10949993133545,1.2118,1.7858,14.3438,6.3552,11.3516,7.7104
"2005-09-26",0.252004504203796,17.6306400299072,32.3676910400391,35.2426910400391,9.5960168838501,2.16700005531311,1.2031,1.7734,14.3239,6.3933,11.3446,7.7071
"2005-09-27",0.252845376729965,17.6794776916504,32.6594047546387,35.4722328186035,9.59378623962402,2.15799999237061,1.2005,1.7659,14.2602,6.3797,11.2841,7.6802
"2005-09-28",0.254373967647552,17.9097194671631,32.8538627624512,34.7654609680176,9.60046863555908,2.16849994659424,1.2037,1.7659,14.2255,6.4524,11.4226,7.759
"2005-09-29",0.259646385908127,18.0980892181396,33.2542381286621,35.03125,9.69172954559326,2.23950004577637,1.2063,1.7661,14.2264,6.387,11.2701,7.6937
"2005-09-30",0.261938720941544,17.9515686035156,34.0092391967773,35.4903717041016,9.75405788421631,2.26500010490417,1.2042,1.7663,14.2862,6.3692,11.196,7.6548
"2005-10-03",0.269121080636978,17.7911109924316,33.9234428405762,35.6474342346191,9.74070167541504,2.30049991607666,1.1933,1.7539,14.1716,6.4093,11.25,7.6534
"2005-10-04",0.265606492757797,17.4283046722412,33.2199287414551,34.9043769836426,9.76073551177979,2.24650001525879,1.1938,1.7568,14.2249,6.4422,11.3103,7.6814
"2005-10-05",0.256818532943726,17.2120189666748,32.6651039123535,33.962028503418,9.68282508850098,2.22449994087219,1.1947,1.7641,14.2241,6.4556,11.3942,7.7187
"2005-10-06",0.255901634693146,17.253885269165,32.1560668945312,33.3398017883301,9.77854156494141,2.20050001144409,1.2061,1.7698,14.3242,6.5612,11.6042,7.9139
"2005-10-07",0.252616226673126,17.1562156677246,32.0531120300293,34.2036552429199,9.80080413818359,2.18600010871887,1.2144,1.7674,14.2127,6.5475,11.5964,7.9635
"2005-10-10",0.246197536587715,17.0655078887939,31.9387073516846,33.5693473815918,9.91432476043701,2.18799996376038,1.2088,1.7591,14.1435,6.535,11.517,7.9381
"2005-10-11",0.243141442537308,17.0306243896484,32.035945892334,33.5633239746094,10.0211658477783,2.17000007629395,1.2022,1.7533,14.0946,6.5256,11.412,7.8533
"2005-10-12",0.246044561266899,16.9538822174072,32.0473785400391,33.0800285339355,10.0033597946167,2.12750005722046,1.2008,1.7458,14.1384,6.5625,11.444,7.8652
"2005-10-13",0.244746193289757,17.1562156677246,32.1446266174316,32.6209259033203,9.96329593658447,2.13100004196167,1.198,1.7492,14.117,6.6397,11.5992,7.9501
"2005-10-14",0.244746193289757,17.2120189666748,32.0931587219238,33.0679702758789,10.0256233215332,2.18950009346008,1.1999,1.7492,14.2485,6.5916,11.5719,7.9201
"2005-10-17",0.247114554047585,17.1143474578857,31.9043960571289,33.2431449890137,10.0701398849487,2.25099992752075,1.2022,1.7579,14.1549,6.4994,11.4809,7.8542
"2005-10-18",0.243064492940903,17.1422538757324,31.65846824646,32.5967712402344,10.045654296875,2.23250007629395,1.1937,1.746,14.1058,6.5704,11.5075,7.8717
"2005-10-19",0.241001278162003,17.505054473877,32.0033683776855,33.4847755432129,10.2370843887329,2.29299998283386,1.195,1.7581,14.223,6.6219,11.5658,7.8744
"2005-10-20",0.242683038115501,17.2957515716553,31.7159252166748,32.7869300842285,10.1502742767334,2.25049996376038,1.1953,1.7663,14.3005,6.5762,11.6126,7.8701
"2005-10-21",0.244058459997177,17.2887706756592,31.5089855194092,29.6860332489014,10.1769847869873,2.29749989509583,1.2012,1.7744,14.3311,6.5866,11.6524,7.8931
"2005-10-24",0.250706136226654,17.5120315551758,31.6756992340088,30.5295238494873,10.2860565185547,2.34649991989136,1.1944,1.7675,14.2799,6.6324,11.7142,7.9161
"2005-10-25",0.252310782670975,17.4631938934326,31.9573822021484,30.5174007415771,10.1035308837891,2.30850005149841,1.2017,1.7783,14.4178,6.6392,11.7746,7.967
"2005-10-26",0.245433866977692,17.5190143585205,31.6124572753906,30.675163269043,10.145824432373,1.98749995231628,1.2059,1.776,14.3392,6.6235,11.7714,7.9983
"2005-10-27",0.24031363427639,17.3376159667969,31.6297149658203,30.2807159423828,9.95884323120117,1.95299994945526,1.213,1.7851,14.3945,6.7041,11.9886,8.1398
"2005-10-28",0.247726172208786,17.8120460510254,32.1470909118652,30.9907188415527,10.1280193328857,1.94749999046326,1.2138,1.7821,14.338,6.6936,11.935,8.1331
"2005-10-31",0.256360024213791,17.9306526184082,32.1873359680176,31.9130916595459,10.5309057235718,1.99300003051758,1.2023,1.7775,14.28,6.7121,11.9432,8.1133
"2005-11-01",0.253227770328522,18.1120452880859,31.7619247436523,31.9919815063477,10.4596767425537,2.01850008964539,1.2008,1.7692,14.2358,6.719,11.9051,8.0635
"2005-11-02",0.267898678779602,18.4608898162842,31.9918766021729,32.5806045532227,10.586555480957,2.03749990463257,1.1992,1.7651,14.3215,6.6548,11.7383,7.9953
"2005-11-03",0.264765650033951,18.4469356536865,32.1700897216797,32.4531707763672,10.5620746612549,2.07800006866455,1.2041,1.7774,14.3259,6.6333,11.7718,7.9965
"2005-11-04",0.260257005691528,18.600435256958,32.1470909118652,32.4956512451172,10.615496635437,2.05450010299683,1.1933,1.7647,14.144,6.6485,11.7499,7.9427
"2005-11-07",0.25911083817482,18.8446311950684,31.9516372680664,32.9204292297363,10.6956310272217,2.06949996948242,1.1824,1.7481,14.0577,6.7067,11.732,7.9233
"2005-11-08",0.254296869039536,18.8725318908691,32.0263671875,32.9204292297363,10.5976896286011,2.09750008583069,1.1741,1.735,14.0595,6.7674,11.7452,7.93
"2005-11-09",0.265758663415909,18.8097343444824,32.1930885314941,32.829418182373,10.7290182113647,2.0699999332428,1.1738,1.7373,14.0699,6.7161,11.7088,7.9085
"2005-11-10",0.255901634693146,18.9004364013672,32.4057846069336,33.1874351501465,10.9159965515137,2.10899996757507,1.1762,1.7486,14.1204,6.756,11.7753,7.9477
"2005-11-11",0.26010474562645,19.0329971313477,32.4057846069336,33.2966690063477,10.9070882797241,2.1340000629425,1.1697,1.74,14.0672,6.7669,11.7896,7.9203
"2005-11-14",0.265606492757797,19.0957927703857,32.1470909118652,33.6364707946777,10.9738693237305,2.12649989128113,1.1713,1.7441,14.042,6.718,11.7189,7.8926
"2005-11-15",0.266217201948166,19.2427310943604,32.1930885314941,33.9216918945312,10.8581256866455,2.22250008583069,1.1667,1.7319,14.001,6.7733,11.7808,7.9305
"2005-11-16",0.265300154685974,19.4106750488281,32.5380249023438,34.4253578186035,10.8803834915161,2.26500010490417,1.1677,1.7254,13.8546,6.76,11.7343,7.9257
"2005-11-17",0.277068138122559,19.5716133117676,32.8541946411133,34.8744201660156,10.9605159759521,2.33699989318848,1.1692,1.7187,13.9067,6.7375,11.573,7.8603
"2005-11-18",0.276532679796219,19.641580581665,33.0266723632812,34.7591171264648,11.0183906555176,2.3989999294281,1.1679,1.7124,13.822,6.7141,11.5019,7.8518
"2005-11-21",0.281423687934875,19.7045593261719,33.1358795166016,35.0200576782227,11.0450992584229,2.39949989318848,1.1811,1.7193,13.8901,6.6583,11.4653,7.8685
"2005-11-22",0.288911283016205,19.5296268463135,32.8484382629395,35.6572380065918,11.174204826355,2.44250011444092,1.1701,1.7117,13.8314,6.6196,11.355,7.7678
"2005-11-23",0.288071393966675,19.5366191864014,32.7737083435059,35.2021026611328,11.2565622329712,2.41199994087219,1.1776,1.7208,13.902,6.5869,11.3552,7.792
"2005-11-25",0.290898442268372,19.4246673583984,32.9289321899414,35.1656875610352,11.2387561798096,2.40300011634827,1.1763,1.7191,13.8615,6.5257,11.2134,7.6752
"2005-11-28",0.289446860551834,19.4176769256592,32.8312072753906,34.8622741699219,11.1296854019165,2.41750001907349,1.1726,1.7109,13.9025,6.5341,11.1518,7.6367
"2005-11-29",0.271108061075211,19.368688583374,33.1588745117188,34.6499061584473,10.9093160629272,2.42750000953674,1.1793,1.7255,13.8666,6.4837,11.1912,7.6702
"2005-11-30",0.276227384805679,19.368688583374,32.8771820068359,35.0625305175781,10.8091526031494,2.42300009727478,1.1769,1.727,13.974,6.4753,11.1486,7.6334
"2005-12-01",0.279512673616409,19.5156364440918,33.1358795166016,35.8028564453125,10.6911745071411,2.45000004768372,1.1745,1.7285,13.9714,6.4692,11.2012,7.6191
"2005-12-02",0.279589712619781,19.599609375,32.9749221801758,35.687557220459,10.6778230667114,2.45300006866455,1.1697,1.7264,13.9744,6.4284,11.1128,7.5315
"2005-12-05",0.274393498897552,19.4876403808594,33.0151634216309,35.3962936401367,10.4930686950684,2.44149994850159,1.1767,1.7358,14.0316,6.3905,11.0578,7.4737
"2005-12-06",0.275539726018906,19.3756866455078,33.0036582946777,35.6814918518066,10.599910736084,2.46300005912781,1.1783,1.7331,14.0377,6.3217,11.0292,7.4511
"2005-12-07",0.275997966527939,19.4176769256592,32.790943145752,35.0625305175781,10.6288499832153,2.44149994850159,1.171,1.7332,13.9933,6.3079,10.9499,7.4203
"2005-12-08",0.273781836032867,19.3756866455078,32.7737083435059,34.795539855957,10.6177225112915,2.41750001907349,1.1764,1.745,14.133,6.3207,10.9943,7.4385
"2005-12-09",0.277678847312927,19.3896789550781,32.9576759338379,35.2506484985352,10.7023105621338,2.43700003623962,1.1785,1.7502,14.1763,6.363,11.1258,7.5023
"2005-12-12",0.28172892332077,19.2077522277832,32.7162246704102,35.214241027832,10.8358640670776,2.45350003242493,1.1925,1.7635,14.3077,6.3627,11.2142,7.549
"2005-12-13",0.285396665334702,18.9838237762451,33.6360206604004,35.7846641540527,11.0117092132568,2.47499990463257,1.1925,1.7674,14.2856,6.3449,11.2451,7.5714
"2005-12-14",0.282721996307373,18.9558429718018,34.2741508483887,35.6511688232422,11.0541324615479,2.47049999237061,1.202,1.7703,14.3184,6.2629,11.1398,7.5352
"2005-12-15",0.279131263494492,18.836893081665,33.9119720458984,35.626880645752,10.9983177185059,2.47399997711182,1.1999,1.7724,14.2292,6.3568,11.2547,7.6348
"2005-12-19",0.276915073394775,18.7739105224609,33.6590270996094,34.4860610961914,10.9313335418701,2.41849994659424,1.1977,1.7663,14.2251,6.3874,11.2884,7.6728
"2005-12-20",0.276761829853058,18.7949085235596,33.4635620117188,34.4314346313477,10.8509578704834,2.40700006484985,1.1955,1.7666,14.2022,6.3645,11.2146,7.6288
