"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2005-08-30",0.229310408234596,18.963228225708,31.6870632171631,32.488037109375,10.0590085983276,2.12450003623962,1.2181,1.7844,14.448,6.4808,11.6052,7.9206
"2005-08-31",0.234430506825447,19.1027641296387,31.7328090667725,33.5210304260254,10.0078153610229,2.13499999046326,1.2198,1.7829,14.5715,6.5033,11.6083,7.9434
"2005-09-01",0.234506651759148,18.9771842956543,31.8929557800293,34.3969688415527,10.0167179107666,2.09200000762939,1.2388,1.8105,14.8064,6.381,11.5292,7.8936
"2005-09-02",0.230685874819756,18.8515911102295,32.0245056152344,35.1883163452148,9.9165506362915,2.07550001144409,1.2541,1.8377,14.9026,6.2647,11.5229,7.8719
"2005-09-06",0.232596784830093,18.8376407623291,32.3562469482422,35.3453903198242,10.1703062057495,2.18099999427795,1.2483,1.8442,14.883,6.2811,11.5547,7.8247
"2005-09-07",0.240008324384689,18.7329845428467,32.1789321899414,35.6836738586426,10.2081480026245,2.18650007247925,1.2451,1.8391,14.855,6.2977,11.6054,7.8727
"2005-09-08",0.242835313081741,18.5655517578125,32.1160125732422,35.2366485595703,10.2081480026245,2.14800000190735,1.2418,1.836,14.8709,6.3258,11.6165,7.8583
"2005-09-09",0.24596843123436,18.5446109771729,32.5450172424316,35.5568199157715,10.2148294448853,2.14750003814697,1.2415,1.8327,14.8665,6.316,11.5936,7.8438
"2005-09-12",0.245127558708191,18.5655517578125,32.3505363464355,35.8165740966797,10.2148294448853,2.22499990463257,1.2313,1.8266,14.7223,6.3711,11.6374,7.8537
"2005-09-13",0.252540022134781,18.4748497009277,31.7671279907227,35.8830108642578,10.032299041748,2.1965000629425,1.2276,1.8235,14.7189,6.3751,11.6211,7.8372
"2005-09-14",0.249483048915863,18.3562431335449,31.4697074890137,35.2185249328613,9.94994068145752,2.15499997138977,1.2314,1.8232,14.7606,6.3589,11.5966,7.809
"2005-09-15",0.25391548871994,18.3283367156982,31.7442455291748,34.8802375793457,9.86535358428955,2.13549995422363,1.2223,1.809,14.5697,6.3938,11.5917,7.8117
"2005-09-16",0.254067659378052,18.188793182373,32.0016288757324,34.8681602478027,9.76518821716309,2.14000010490417,1.2243,1.8112,14.5676,6.3642,11.5253,7.8076
"2005-09-19",0.250476956367493,18.1399555206299,31.7785663604736,34.4150924682617,9.79635620117188,2.13750004768372,1.2139,1.8025,14.5672,6.4539,11.6129,7.8264
"2005-09-20",0.255366891622543,18.0283260345459,32.0531005859375,34.3184280395508,9.61827278137207,2.09349989891052,1.2154,1.8051,14.5706,6.405,11.5648,7.7856
"2005-09-21",0.253150701522827,17.7841320037842,31.9730339050293,34.4996528625488,9.45800876617432,2.0625,1.2225,1.8098,14.6328,6.3736,11.5254,7.7863
"2005-09-22",0.246350809931755,17.6794757843018,32.4248924255371,35.0373001098633,9.6138219833374,2.10400009155273,1.2224,1.8017,14.4533,6.3478,11.4921,7.7606
"2005-09-23",0.249941498041153,17.6306419372559,32.4534912109375,35.593074798584,9.61604881286621,2.10949993133545,1.2118,1.7858,14.3438,6.3552,11.3516,7.7104
"2005-09-26",0.252004623413086,17.6306419372559,32.3676872253418,35.24267578125,9.59601593017578,2.16700005531311,1.2031,1.7734,14.3239,6.3933,11.3446,7.7071
"2005-09-27",0.252845466136932,17.6794757843018,32.6593933105469,35.472240447998,9.59379100799561,2.15799999237061,1.2005,1.7659,14.2602,6.3797,11.2841,7.6802
"2005-09-28",0.254373967647552,17.9097194671631,32.8538589477539,34.7654495239258,9.60046577453613,2.16849994659424,1.2037,1.7659,14.2255,6.4524,11.4226,7.759
"2005-09-29",0.259646356105804,18.0980911254883,33.2542381286621,35.0312461853027,9.69173240661621,2.23950004577637,1.2063,1.7661,14.2264,6.387,11.2701,7.6937
"2005-09-30",0.261938691139221,17.9515800476074,34.0092620849609,35.4903678894043,9.75405597686768,2.26500010490417,1.2042,1.7663,14.2862,6.3692,11.196,7.6548
"2005-10-03",0.269121080636978,17.7911052703857,33.9234428405762,35.6474227905273,9.74070262908936,2.30049991607666,1.1933,1.7539,14.1716,6.4093,11.25,7.6534
"2005-10-04",0.265606433153152,17.4283065795898,33.2199172973633,34.9044075012207,9.76073741912842,2.24650001525879,1.1938,1.7568,14.2249,6.4422,11.3103,7.6814
"2005-10-05",0.256818503141403,17.2120246887207,32.6651039123535,33.9620132446289,9.68282222747803,2.22449994087219,1.1947,1.7641,14.2241,6.4556,11.3942,7.7187
"2005-10-06",0.255901575088501,17.2538890838623,32.1560592651367,33.3398132324219,9.77854442596436,2.20050001144409,1.2061,1.7698,14.3242,6.5612,11.6042,7.9139
"2005-10-07",0.252616167068481,17.1562118530273,32.0531005859375,34.2036476135254,9.80080032348633,2.18600010871887,1.2144,1.7674,14.2127,6.5475,11.5964,7.9635
"2005-10-10",0.246197640895844,17.0655059814453,31.9387111663818,33.5693473815918,9.91432857513428,2.18799996376038,1.2088,1.7591,14.1435,6.535,11.517,7.9381
