"Model","Confidence_Level","VaR_Method","Avg_Violation_Rate","Avg_Kupiec_PValue","Avg_Christoffersen_PValue","Avg_DQ_PValue","Pass_Kupiec","Pass_Christoffersen","Pass_DQ","Total_Assets"
"NF_eGARCH",0.95,"Historical",0.0500553709856035,NA,NA,0.0017365248703,0,0,0,5
"NF_eGARCH",0.95,"NFGARCH",0.0500553709856035,NA,NA,0.0017365248703,0,0,0,5
"NF_eGARCH",0.95,"Parametric",0.0404872646733112,2.60672638195958e-05,0.0797463343937524,0.0237752516157163,0,1,1,5
"NF_eGARCH",0.99,"Historical",0.010188261351052,0.899141967893366,0.00611957446783792,9.09763398999284e-07,5,0,0,5
"NF_eGARCH",0.99,"NFGARCH",0.010188261351052,0.899141967893366,0.00611957446783792,9.09763398999284e-07,5,0,0,5
"NF_eGARCH",0.99,"Parametric",0.0147065337763012,0.138756220208307,0.0308915947868271,1.85798606555617e-10,1,2,0,5
"NF_fGARCH",0.95,"Historical",0.0500553709856035,NA,NA,0.014538454917095,0,0,81,972
"NF_fGARCH",0.95,"NFGARCH",0.0500553709856035,NA,NA,0.014538454917095,0,0,81,972
"NF_fGARCH",0.95,"Parametric",0.0396640826873385,0.000109127083933545,0.0577274252033471,0.00994654633222283,0,243,81,972
"NF_fGARCH",0.99,"Historical",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,972,162,0,972
"NF_fGARCH",0.99,"NFGARCH",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,972,162,0,972
"NF_fGARCH",0.99,"Parametric",0.014562569213732,0.193591154802494,0.0749152120180285,1.56316540446916e-07,243,324,0,972
"NF_gjrGARCH",0.95,"Historical",0.0500553709856035,NA,NA,0.014538454917095,0,0,81,972
"NF_gjrGARCH",0.95,"NFGARCH",0.0500553709856035,NA,NA,0.014538454917095,0,0,81,972
"NF_gjrGARCH",0.95,"Parametric",0.0396640826873385,0.000109127083933545,0.0577274252033471,0.00994654633222283,0,243,81,972
"NF_gjrGARCH",0.99,"Historical",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,972,162,0,972
"NF_gjrGARCH",0.99,"NFGARCH",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,972,162,0,972
"NF_gjrGARCH",0.99,"Parametric",0.014562569213732,0.193591154802494,0.0749152120180285,1.56316540446916e-07,243,324,0,972
"NF_sGARCH",0.95,"Historical",0.0500553709856035,NA,NA,0.014538454917095,0,0,162,1944
"NF_sGARCH",0.95,"NFGARCH",0.0500553709856035,NA,NA,0.014538454917095,0,0,162,1944
"NF_sGARCH",0.95,"Parametric",0.0396640826873385,0.000109127083933545,0.0577274252033471,0.00994654633222283,0,486,162,1944
"NF_sGARCH",0.99,"Historical",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,1944,324,0,1944
"NF_sGARCH",0.99,"NFGARCH",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,1944,324,0,1944
"NF_sGARCH",0.99,"Parametric",0.014562569213732,0.193591154802494,0.0749152120180285,1.56316540446916e-07,486,648,0,1944
